english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
,User-facing product copy in the Chess UI sample.,,translated,,,tx1_geiwb7bpmta3gr4jhuebrpgady,row1_omxhaeyez2ioeiwrs2rp54thqi,message,,rules/src/action_button.rs:69:21; rules/src/select_control.rs:76:29; rules/src/toggle_control.rs:96:29,rev1_eec13c7af0c217d5dfc5bac77e7ad378ce016a25dfb6e26a1fc58e2d3747cf7f
ARCADE FRAME,User-facing product copy in the Chess UI sample.,ARCADE FRAME,translated,,,tx1_dcjgjovbkl5puzmcjh5auxzm3u,row1_v3lfhf6nbbzwt2m53nyhofycsq,message,,rules/src/frame_harness.rs:32:28,rev1_30501ca914801907d254dd6d6708644838f34771b37cf273bec7c905b6d90a8e
Arcade frame content,User-facing product copy in the Chess UI sample.,Arcade frame content,translated,,,tx1_hs3xdanpsjk7x6ko54nc5wld3q,row1_btdbvnkzlcvmgdv6n6l75yx2zy,message,,rules/src/frame_harness.rs:36:58,rev1_033d084bd7be433d8db63036d6f28b51bec07e0d5d059d579bd81f263a0c6d47
CHESS UI,User-facing product copy in the Chess UI sample.,CHESS UI,translated,,,tx1_tewq3trwrdmkewmnjsusgmj6ei,row1_vkroe4aerrojhzcxagzvyckd64,message,,rules/src/gallery.rs:56:16,rev1_9a8ee990598df62d58134b77dcbf3e09738f25d9b9b8324a94b4b852159c5886
{page_count} review pages,User-facing product copy in the Chess UI sample.,{page_count} review pages,translated,,page_count,tx1_a5gdlshzuywwobepxygt46pu2y,row1_c3ycp5ylugqvw7exzgbe4imyla,message,,rules/src/gallery.rs:60:18,rev1_092ad4ec9fe0a6fe7cffd199b272c12523b910f279726dcd910978f9a81f0f7e
{position}. {title},Numbered navigation label for a Chess UI review page.,{position}. {title},translated,,position; title,tx1_s4kgrlg5zoymvya3imh2oyippe,row1_cvun35hfyvfb42u2zjk7wbuteu,message,,rules/src/gallery.rs:67:20,rev1_7df5b468703774e8a1d59026ebe78e5291c21fe8fc85dbc2682fe9a43ab7201e
REVIEW {review_index} / {page_count},User-facing product copy in the Chess UI sample.,REVIEW {review_index} / {page_count},translated,,page_count; review_index,tx1_e4r63nd3wpslesip5bjpwn2ptq,row1_qy5uo7dpui34epzgoqbfvynxzq,message,,rules/src/gallery.rs:87:20,rev1_e317cd76d684cc025e25883e3be93d55a58c02d4f4add9667609f576d17e8653
One page. A fresh start.,User-facing product copy in the Chess UI sample.,One page. A fresh start.,translated,,,tx1_3rxkeoyiu3tnahqaxmljwp447e,row1_do5flxax5e5lmilfpgipg37i6a,message,,rules/src/gallery.rs:106:15,rev1_7b448972a500b091fe189d96529d9912b75dbe65b9d7db1fe526aa8c59f2238a
Select a page to explore it. Select it again to reset its demonstration.,User-facing product copy in the Chess UI sample.,Select a page to explore it. Select it again to reset its demonstration.,translated,,,tx1_hgamew7pzuckwqs4pvkbrktoxm,row1_pukopgdiutxxlixlhxb2ke3pcu,message,,rules/src/gallery.rs:111:30,rev1_a7196a118f3c63755beb7a1a89a7b7f9373d5b61e58f0a42ef27d0ce0412ebd7
Changes: {count},User-facing product copy in the Chess UI sample.,Changes: {count},translated,,count,tx1_3msl3jp5gcmigk62elsncap4gi,row1_7kmhr6nv6ptgmoeemt4a532wfm,message,,rules/src/gallery.rs:116:15,rev1_0e20d72e6d74d2261f2bba0d48911d69e14366bf6b36c6494a1bc0a8f30ff957
Change demonstration,User-facing product copy in the Chess UI sample.,Change demonstration,translated,,,tx1_ht2ixxwjnsjnlng2mffrflzyfi,row1_ajuk3kshm2t5u3xraxi4r7hpwy,message,,rules/src/gallery.rs:124:16,rev1_2db656dc2beed55c17261ef9c3a714d467b19e5728cdb85e59e85ba8ae5ecd07
Gallery shell,User-facing product copy in the Chess UI sample.,Gallery shell,translated,,,tx1_d2msxo32u4gszlkphnmgblv62m,row1_tc6yzffaqr47ymo2blcwe2lkay,message,,rules/src/pages.rs:25:24,rev1_46e18ce11cd025a30b030445d80f1a07324f9ff06e973fc4cb8c724819c26dc3
Scrollable navigation selects one isolated demonstration; migrated mockup content is intentionally not asserted.,User-facing product copy in the Chess UI sample.,Scrollable navigation selects one isolated demonstration; migrated mockup content is intentionally not asserted.,translated,,,tx1_rgnwgoerdowg34pnbaglpspmya,row1_s7cvsg6eebvbmyrfy5l2clbj7m,message,,rules/src/pages.rs:26:30,rev1_7bea7cfd4b17c44e513f7892664f39d613fd557a5a4a12ed854ee5b49b1aba64
PortraitViewport,User-facing product copy in the Chess UI sample.,PortraitViewport,translated,,,tx1_ntghlbkwnqdoiqsa6epzzn5wke,row1_m3c72nsxiinegbccktihsiyupe,message,,rules/src/pages.rs:31:24,rev1_3aec9bd6f2384ac9ea37f84477155ff2f80b91a839f06240bbf4a30db3a76ed4
Fixed stage scales to fit available space; responsive content reflow is not asserted.,User-facing product copy in the Chess UI sample.,Fixed stage scales to fit available space; responsive content reflow is not asserted.,translated,,,tx1_mxvsxeflvd6upqhbctzgx35paa,row1_x3ysqwojpa6bwvwhp24etrcy7m,message,,rules/src/pages.rs:32:30,rev1_ab1ec7db0aa01e610b8619e778ff12a95a2b6feec63966d2d34f05466499e796
ScreenFrame and ConceptFrame,User-facing product copy in the Chess UI sample.,ScreenFrame and ConceptFrame,translated,,,tx1_2zdc7jmji5seuohwhunvfoinii,row1_kncjixwsn4csza4vqmprixdeji,message,,rules/src/pages.rs:37:24,rev1_cd4379d43c239d959ddab9cbc19f4702eb0c1af4adc4a74f1480df39033fb2d4
"Arcade frame and clipped interior render; pulses, exits, generated skin, and controls are not asserted.",User-facing product copy in the Chess UI sample.,"Arcade frame and clipped interior render; pulses, exits, generated skin, and controls are not asserted.",translated,,,tx1_ulrv6tpkwycynkefmeihfxwgsq,row1_gjvaxvgyibbcl5xcbfuhlvtwpq,message,,rules/src/pages.rs:38:30,rev1_7be728334ef4a83b67d207d79c91300a68676e18d36afcd5bca2a413faa1825a
SettingRow,User-facing product copy in the Chess UI sample.,SettingRow,translated,,,tx1_sqdezervjzlwgsxz6cpvguzepu,row1_t47eewjbpdjoucql4mlfxb3fvq,message,,rules/src/pages.rs:43:24,rev1_ebc739e18b49859375e05de073751ffb3202885a5db43107bc8e92d5e6a777af
SettingRow aligns label and child horizontally; responsive reflow and interactive controls are not asserted.,User-facing product copy in the Chess UI sample.,SettingRow aligns label and child horizontally; responsive reflow and interactive controls are not asserted.,translated,,,tx1_6ieu4mkb6kyllpdpbjupzcfpvy,row1_lglhprjanilce4enfhrjsamae4,message,,rules/src/pages.rs:44:30,rev1_d32c81beff16f12eb33049a31445570de1c2a3bd6c1e3ea361440be0d49c79e0
ToggleControl layout and state,User-facing product copy in the Chess UI sample.,ToggleControl layout and state,translated,,,tx1_55jugtyf6hnakftkimx7fh2w5q,row1_yscz77hsklwb5ceoe5adc2jwea,message,,rules/src/pages.rs:49:24,rev1_626fbb5946647974d205ec1b68ecacc5c03623953d2e5b55517714214aeacfeb
"ToggleControl renders label, checkbox, and controlled toggling; focus, animation, and help remain unasserted.",User-facing product copy in the Chess UI sample.,"ToggleControl renders label, checkbox, and controlled toggling; focus, animation, and help remain unasserted.",translated,,,tx1_mihejouiiytkx66r7rzj2lnexi,row1_b26zxnbnbtgab2qmlqqeywpsfy,message,,rules/src/pages.rs:50:30,rev1_7ab7eb791afd6f5f66e58a8dc8703f63d4c8bf9397cdc570e9c6ddcb6e5d2972
SelectControl closed state,User-facing product copy in the Chess UI sample.,SelectControl closed state,translated,,,tx1_wphtnboxbedi6h6k4qiclg6oqa,row1_f45jmoqzu7jlzfzec44mnixssu,message,,rules/src/pages.rs:55:24,rev1_72d1e07906a11dc52f3d194e8ac090eac2fc584f71587b49e7cf0ab09c351995
"SelectControl renders changing controlled values and its caret; opening, options, focus, and animation remain unasserted.",User-facing product copy in the Chess UI sample.,"SelectControl renders changing controlled values and its caret; opening, options, focus, and animation remain unasserted.",translated,,,tx1_r5qnkve6mnywsepm3ufv474f5y,row1_lcjmyzudwzvvxbpeyiq5xbfvdy,message,,rules/src/pages.rs:56:30,rev1_a98a5139cbfc3f55685d7785783b74bc576003aef577a9f221a299fb8ba99f34
VolumeControl layout,User-facing product copy in the Chess UI sample.,VolumeControl layout,translated,,,tx1_y2j3ix243q6e7jdao4vwoys4ja,row1_wxqc7nusbfvayjjjin2vhzpvlq,message,,rules/src/pages.rs:61:24,rev1_e6262d3f99dbf220b30bbef83441e018c6cc31c88407bda4e648f9858b0bd0f7
"VolumeControl renders track, fill, thumb, value, and controlled changes; rich input and effects remain unasserted.",User-facing product copy in the Chess UI sample.,"VolumeControl renders track, fill, thumb, value, and controlled changes; rich input and effects remain unasserted.",translated,,,tx1_v5ywal4476y5s4kpcrvomld4hq,row1_6jqk7gx4qbanryhoforyxbpswu,message,,rules/src/pages.rs:62:30,rev1_70a3586452e6875b8c3bb7878bb6c0fa130f4702e348f23054a2a0b93cd681cd
ActionButton,User-facing product copy in the Chess UI sample.,ActionButton,translated,,,tx1_ucc66durx5d3vgo2thi5m52zea,row1_xizbew3owmucql664q62kno3ae,message,,rules/src/pages.rs:67:24,rev1_76bfc64705ba9c35125ccfe26deb181459e166b3f7c1423a7ccc5978df2bd9f5
"ActionButton renders typed children and invokes clicks; interaction states, particles, and navigation remain unasserted.",User-facing product copy in the Chess UI sample.,"ActionButton renders typed children and invokes clicks; interaction states, particles, and navigation remain unasserted.",translated,,,tx1_oawkmsaucif2kwqcxonnpdmmmm,row1_anfvj4pwgoi62po6eitgbavcta,message,,rules/src/pages.rs:68:30,rev1_89026dd980593a1f02325e53f5aba0c26cd7499c917ff00825335f2faa47e9fa
SettingsTabs layout,User-facing product copy in the Chess UI sample.,SettingsTabs layout,translated,,,tx1_typbyb24dxcbutwlmr5l7yc62a,row1_3rggckqx2ewws4pvxmney7x52a,message,,rules/src/pages.rs:73:24,rev1_ef34e24140d7d68f15081963b888dc3dbb99355abf8c0a5b488e2020398b4f36
"SettingsTabs selects controlled tabs horizontally; directional focus, panel transitions, and responsive labels remain unasserted.",User-facing product copy in the Chess UI sample.,"SettingsTabs selects controlled tabs horizontally; directional focus, panel transitions, and responsive labels remain unasserted.",translated,,,tx1_a3c4oeqz4z6yayb563rwzagc64,row1_n4loipbvg3sgg63a25qnhyyjlm,message,,rules/src/pages.rs:74:30,rev1_c4ad14daa8802ed4eeb4c0c75af16d3f2a5eea21471fc305dc31573bda6a0c7c
ScreenHeader,User-facing product copy in the Chess UI sample.,ScreenHeader,translated,,,tx1_p7v7axwshmhoy7ch32ypxjjbke,row1_rhyyhr2hty2dauosb5brsz2hze,message,,rules/src/pages.rs:78:24,rev1_3027ca37bcfb1ff89ad6fcde78f09681c3789022d30d27343fb7443d696a2e56
"ScreenHeader renders game and settings variants; generated wordmark, scaling, and animation remain unasserted.",User-facing product copy in the Chess UI sample.,"ScreenHeader renders game and settings variants; generated wordmark, scaling, and animation remain unasserted.",translated,,,tx1_eu2b6yivmefyygrwxbxxtyjt2y,row1_kmtbjxup6jlc4gpikw3zwjruoa,message,,rules/src/pages.rs:79:30,rev1_e6121fe917e17e02ab236e037bcb0fe79e1170bd0d4a662e5ea2b17643e8f192
useInteraction,User-facing product copy in the Chess UI sample.,useInteraction,translated,,,tx1_fcle4p7ld3pzyrmqnsakosdweu,row1_2744l7a6uw7cmf2454z7gb4t3e,message,,rules/src/pages.rs:83:24,rev1_a2274c8378be16803a973a64f371256098175137f0dfbbe3570f71c39a38b227
"useInteraction drives hover, press, release, and cancellation visuals; focus modality and particles remain unasserted.",User-facing product copy in the Chess UI sample.,"useInteraction drives hover, press, release, and cancellation visuals; focus modality and particles remain unasserted.",translated,,,tx1_56biix3kxlyvkpaiyy3kb22nh4,row1_jn47ws73v6xlz3rfg2jaanhgju,message,,rules/src/pages.rs:84:30,rev1_791e606c186a09d2d7c130caa5c5b8f46b57b1a4005012c8113409f24d0e9fab
Focus-visible behavior,User-facing product copy in the Chess UI sample.,Focus-visible behavior,translated,,,tx1_sgzpfydqghhlvcpoxrvuuaurli,row1_m2nca5rlsig3d32vik4eulqmby,message,,rules/src/pages.rs:88:24,rev1_f33824217cc6305468659448a9f0e0ea84ffa9f104372316178ba8c86f1ac9cf
